System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
17:49:25.340, 153.973, 1.810, 1.210, 0.446, 0.098, 1560, 1557, 88, 61, 63, 66, 62, 20.769, 23.469, 19.863, 20.000
17:49:26.390, 155.023, 8.992, 5.348, 1.146, 0.032, 1519, 3174, 63, 61, 63, 65, 61, 34.565, 16.268, 40.635, 19.000
17:49:27.344, 155.977, 7.180, 4.320, 0.896, 0.036, 1707, 2917, 74, 62, 64, 67, 61, 31.979, 18.421, 36.475, 26.000
17:49:28.343, 156.976, 0.602, 0.380, 0.192, 0.010, 1045, 1038, 18, 61, 64, 66, 61, 16.771, 10.000, 19.032, 5.000
17:49:29.334, 157.967, 7.784, 6.658, 0.494, 0.000, 1431, 1540, 0, 59, 61, 64, 61, 28.822, 23.500, 30.602, 30.000
17:49:30.370, 159.003, 1.744, 0.986, 0.292, 0.000, 1091, 1458, 0, 63, 65, 69, 61, 36.408, 21.463, 41.357, 1.000
17:49:31.340, 159.973, 0.536, 0.292, 0.146, 0.000, 1034, 879, 0, 60, 62, 65, 61, 10.180, 11.795, 9.639, 1.000
17:49:32.333, 160.966, 0.738, 0.396, 0.182, 0.010, 1039, 838, 4, 59, 61, 65, 61, 10.000, 9.596, 10.135, 1.000
17:49:33.363, 161.996, 0.804, 0.508, 0.284, 0.026, 1622, 1125, 65, 59, 61, 63, 60, 12.970, 17.961, 11.309, 15.000
17:49:34.336, 162.969, 0.602, 0.326, 0.258, 0.024, 1490, 879, 54, 59, 61, 65, 61, 12.899, 20.918, 10.221, 14.000
